latitude,longtitude,time
0.000000,0.000000,13002300
0.000000,0.000000,13002800
0.000000,0.000000,13003300
0.000000,0.000000,13003800
0.000000,0.000000,13004300
0.000000,0.000000,13004800
0.000000,0.000000,13005300
0.000000,0.000000,13005800
0.000000,0.000000,13010300
0.000000,0.000000,13010800
0.000000,0.000000,13011300
0.000000,0.000000,13011800
0.000000,0.000000,13012300
55.748543,38.009220,13012800
55.748333,38.009125,13013300
55.748074,38.009254,13013800
55.747902,38.009373,13014300
55.747944,38.009323,13014800
55.747932,38.009346,13015300
55.747944,38.009418,13015800
55.747948,38.009445,13020300
55.747879,38.009369,13020800
55.747864,38.009369,13021300
55.747856,38.009369,13021800
55.747856,38.009365,13022400
55.747852,38.009365,13022900
55.747845,38.009335,13023400
55.747837,38.009319,13023900
55.747829,38.009308,13024400
55.747826,38.009304,13024900
55.747833,38.009300,13025400
55.747837,38.009304,13025900
55.747841,38.009308,13030400
55.747837,38.009315,13030900
55.747829,38.009319,13031400
55.747829,38.009315,13031900
55.747833,38.009319,13032400
55.747833,38.009319,13032900
55.747841,38.009315,13033400
55.747841,38.009308,13033900
55.747841,38.009304,13034400
55.747837,38.009308,13034900
55.747879,38.009254,13035400
55.747936,38.009136,13035900
55.748047,38.009125,13040400
55.748158,38.009293,13040900
55.748329,38.009327,13041400
55.748543,38.009308,13041900
55.748760,38.009266,13042400
55.748959,38.009235,13042900
55.749092,38.009216,13043400
55.749100,38.009079,13044000
55.749012,38.008919,13044500
55.748878,38.008865,13045000
55.748779,38.008743,13045500
55.748554,38.008713,13050000
55.748314,38.008751,13050500
55.748138,38.008720,13051000
55.748100,38.008728,13051500
55.747971,38.008732,13052000
55.747856,38.008717,13052500
55.747753,38.008785,13053000
55.747730,38.008801,13053500
55.747704,38.008785,13054000
55.747677,38.008789,13054500
55.747620,38.008804,13055000
55.747562,38.008827,13055500
55.747551,38.008930,13060000
55.747574,38.009117,13060500
55.747585,38.009289,13061000
55.747517,38.009342,13061500
55.747433,38.009258,13062000
